title,genres_associated,languages_availables,runtime,overview,adult,release_date,tagline,vote_average,keywords,cast
Live Flesh,"['Drama', 'Romance', 'Thriller']",['Spanish'],103.0,A scorned ex-convict forces himself into the lives of the couple who put him behind bars.,False,1997-10-28,"Life, love, desire... and everything in between.",7.2,"['scorned', 'forces', 'lives']","['Liberto Rabal', 'Francesca Neri', 'Javier Bardem', 'Penélope Cruz', 'Ángela Molina', 'José Sancho', 'Pilar Bardem', 'Alex Angulo', 'Mariola Fuentes', 'Yael Be', 'Josep Molins', 'Daniel Lanchas', 'María Rosenfeldt', 'Antonio Henares', 'Diego de Paz', 'Emilio Rodríguez']"
Zero Effect,"['Comedy', 'Crime', 'Mystery', 'Thriller']",['English'],116.0,"Daryl Zero is a private investigator. Along with his assistant, Steve Arlo he solves impossible crimes and puzzles. Though a master investigator, when he is not working, Zero doesn't know what to do with himself. He has no social skills, writes bad music, and drives Arlo crazy. In his latest case, Zero must find out who is blackmailing a rich executive, and when his client won't tell him, why.",False,1998-01-30,The world's most private detective.,6.0,"['zero', 'investigator', 'arlo']","['Bill Pullman', 'Ben Stiller', ""Ryan O'Neal"", 'Kim Dickens', 'Angela Featherstone', 'Hugh Ross', 'Sarah DeVincentis', ""Matt O'Toole"", 'Michele Mariana', 'Robert Katims', 'Tyrone Henry', 'Aleta Barthell', 'Tapp Watkins', 'Wendy Westerwelle', 'Lauren Hasson']"
The Borrowers,"['Adventure', 'Fantasy', 'Action', 'Comedy', 'Family']",['English'],86.0,"The four-inch-tall Clock family secretly share a house with the normal-sized Lender family, ""borrowing"" such items as thread, safety pins, batteries and scraps of food. However, their peaceful co-existence is disturbed when evil lawyer Ocious P. Potter steals the will granting title to the house, which he plans to demolish in order to build apartments. The Lenders are forced to move, and the Clocks face the risk of being exposed to the normal-sized world.",False,1997-12-05,Little People. Big Trouble. Lots of fun.,5.8,"['family', 'house', 'clock']","['John Goodman', 'Jim Broadbent', 'Celia Imrie', 'Tom Felton', 'Hugh Laurie', 'Bradley Pierce', 'Mark Williams', 'Ruby Wax', 'Doon Mackichan', 'Alex Winter', 'Raymond Pickard', 'Flora Newbigin', 'Aden Gillett', 'David Freeman', 'Patrick Monckton']"
Prince Valiant,"['Adventure', 'Fantasy']",['English'],91.0,"An Arthurian legend of young Prince Valiant, son of the King of Scandia. After the King is exiled by an evil leader, the Prince travels to Camelot to secure the aid of King Arthur in helping restore his family to power and prevent a plot by the Black Knight.",False,1997-07-24,"He who holds the sword, rules the world.",4.7,"['king', 'prince', 'arthurian']","['Stephen Moyer', 'Katherine Heigl', 'Thomas Kretschmann', 'Edward Fox', 'Udo Kier', 'Joanna Lumley', 'Ron Perlman', 'Warwick Davis', 'Ben Pullen', 'Walter Gotell', 'Anthony Hickox', 'Zach Galligan', 'Hamish Campbell-Robertson', 'Marcus Schenkenberg', ""Gavin O'Herlihy"", 'Chesney Hawkes', 'Maldwyn Lloyd']"
"I Love You, Don't Touch Me!","['Comedy', 'Romance']",['English'],86.0,"The story of a 25 year old virgin girl, looking for the right boyfriend, not realizing that ""the one"" has been next to her for many years.",False,1997-01-21,Just Your Typical Boy-Loves-Girl Who Doesn't Love Boy Till He Loves Other Girl Story,6.0,"['story', '25', 'year']","['Marla Schaffel', 'Mitchell Whitfield', 'Michael Harris', 'Meredith Scott Lynn', 'Jack McGee', 'Darryl Theirse', 'Julie Ariola', 'Nancy Sorel', 'Julie Davis', 'Shannon McLeod']"
Leather Jacket Love Story,"['Drama', 'Comedy', 'Romance']",['English'],85.0,"Kyle is 18, an aspiring poet hoping to find inspiration by moving to the arty Silver Lake neighborhood of LA, and maybe love too. On day one, he finds a funky coffee shop, where he hopes to do some writing, but instead meets an older hunk.",False,1998-02-20,A Twink Meets Hunk Romance,9.0,[],"['Sean Tataryn', 'Christopher Bradley', 'Geoff Moody', 'Héctor Mercado', 'Stephen J. McCarthy', 'Erin Krystle', 'Craig Olsen', 'Mink Stole', 'Nicholas Worth', 'Nicholas Worth', 'Dennis Larkin', 'Daniel Escobar', 'Sophie Poster', 'Arlene Golonka', 'Nicolas Pajon']"
Krippendorf's Tribe,"['Comedy', 'Drama', 'Family']",['English'],94.0,"After squandering his grant money, despondent and recently widowed anthropologist James Krippendorf must produce hard evidence of the existence of a heretofore undiscovered New Guinea tribe. Grass skirts, makeup, and staged rituals transform his three troubled children into the Shelmikedmu, a primitive culture whose habits enthrall scholars. But when a spiteful rival threatens to blow the whistle on Krippendorf's ruse, he gets into the act as well.",False,1998-02-27,He's discovered the wildest tribe in his own backyard!,4.3,"['krippendorf', 'squandering', 'grant']","['Richard Dreyfuss', 'Jenna Elfman', 'Zakes Mokae', 'Siobhan Fallon', 'Natasha Lyonne', 'Gregory Smith', 'Lily Tomlin', 'Stephen Root', 'Elaine Stritch', 'Mila Kunis', 'David Ogden Stiers']"
The Real Blonde,"['Comedy', 'Drama', 'Romance']","['English', 'Italian']",105.0,"An aspiring actor (Matthew Modine) and his girlfriend (Catherine Keener) handle life's frustrations, while his friend seeks fulfillment with a blonde (Daryl Hannah).",False,1997-09-14,What you see isn't always what you get.,5.5,"['aspiring', 'actor', 'matthew']","['Matthew Modine', 'Catherine Keener', 'Daryl Hannah', 'Elizabeth Berkley', 'Bridgette Wilson', 'Christopher Lloyd', 'Kathleen Turner', 'Denis Leary', 'John Tormey', 'Steve Buscemi', 'Dave Chappelle', 'Katie Griffin', 'Missy Yager', 'Maxwell Caulfield', 'Marlo Thomas', 'Buck Henry', 'Alexandra Wentworth', 'Daniel von Bargen']"
Mr. Nice Guy,"['Crime', 'Action', 'Comedy']","['mandarin', 'Cantonese / Cantonese', 'English']",113.0,A Chinese chef accidentally gets involved with a news reporter who filmed a drug bust that went awry and is now being chased by gangs who are trying to get the video tape.,False,1997-01-31,Fight first. Apologize later.,6.2,"['chinese', 'chef', 'accidentally']","['Jackie Chan', 'Richard Norton', 'Miki Lee', 'Gabrielle Fitzpatrick', 'Karen McLymont', 'Vince Poletto', 'Barry Otto', 'Peter Houghton', 'Peter Lindsay', 'David No', 'Rachel Blakely', 'Sammo Hung', 'Emil Chow', 'Joyce Godenzi', 'Richard Huggett']"
Taste of Cherry,['Drama'],['Farsi'],95.0,"A middle-aged Tehranian man, Mr. Badii is intent on killing himself and seeks someone to bury him after his demise. Driving around the city, the seemingly well-to-do Badii meets with numerous people, including a Muslim student, asking them to take on the job, but initially he has little luck. Eventually, Badii finds a man who is up for the task because he needs the money, but his new associate soon tries to talk him out of committing suicide.",False,1997-09-28,Searching for the Reason to Live,7.1,"['badii', 'man', 'tehranian']","['Homayoun Ershadi', 'Abdolrahman Bagheri', 'Afshin Khorshid Bakhtiari', 'Safar Ali Moradi', 'Mir Hossein Noori', 'Ahmad Ansari']"
Species II,"['Science Fiction', 'Action', 'Horror']",['English'],93.0,"Having just returned from a mission to Mars, Commander Ross isn't exactly himself. He's slowly becoming a terrifying alien entity with one goal -- to procreate with human women! When countless women suffer gruesome deaths after bearing half-alien offspring, scientist Laura Baker and hired assassin Press Lennox use Eve, a more tempered alien clone, to find Ross and his brood. Before long Eve escapes to mate with Ross.",False,1998-04-10,Mating season begins...,4.5,"['ross', 'alien', 'women']","['Michael Madsen', 'Natasha Henstridge', 'Marg Helgenberger', 'Mykelti Williamson', 'George Dzundza', 'James Cromwell', 'Sarah Wynter', 'Justin Lazard', 'Myriam Cyr', 'Baxter Harris', 'Scott Morgan', 'Nancy La Scala', 'Raquel Gardner', 'Henderson Forsythe', 'Robert Hogan', 'Ted Sutton', 'Peter Boyle', 'Gwendolyn Briley-Strand', 'Valerie Karasek', 'Jane Beard', 'Nancy Young', 'Beau James', 'Tracy Metro', 'Irv Ziff', 'Melanie Bradshaw', 'Felicia Deel', 'Norman Aronovic', 'Kim Adams', 'Dustin Turner', 'Susan Duvall', 'Andreas Kraemer', 'Lauren Ziemski', 'Donna Sacco', 'Sondra Spriggs', 'Kevin Grantz', 'Zite Bidanie', 'Nat Benchley', 'Mike Gartland', 'John C. Pratt', 'John T. Scanlon', 'Herbert R. Schutt Jr.', 'Evelyn Ebo', 'Bill Boggs', 'Richard Belzer', 'Alesia Newman-Breen', 'Vincent Hammond', 'Monica Staggs', 'Jason Sweet', 'Michael Ahl', 'Sean Attebury', 'Matthew Boylan', 'Heidi Burger', 'Tim Carr', 'Gary Davis', 'Frank Faucette', 'Sean Floyd', 'Sarah Fragale', 'Byron Henderson', 'Liam Hughes', 'Paul Majors', 'Mark Norris', 'Brian Harrison', 'Julie Mabry', 'Karl Otter', 'Thomas Reid', 'Eric Alan Wendell']"
Major League: Back to the Minors,['Comedy'],"['English', 'Italian']",107.0,At the behest of Roger Dorn -- the Minnesota Twins' silver-tongued new owner -- washed-up minor league hurler Gus Cantrell steps up to the plate to take over as skipper of the club's hapless farm team. But little does he know that Dorn has an ulterior motive to generate publicity with a grudge match between the big leaguers and their ragtag Triple A affiliate.,False,1998-04-17,They're Just Nine Players Short of a Dream Team,4.3,"['dorn', 'behest', 'roger']","['Scott Bakula', 'Corbin Bernsen', 'Dennis Haysbert', 'Takaaki Ishibashi', 'Jensen Daggett', 'Eric Bruskotter', 'Walton Goggins', 'Ted McGinley', 'Kenny Johnson', 'Judson Mills', 'Lobo Sebastian', 'Thom Barry', 'Peter MacKenzie', 'Tom DiFilippo', 'Ted DiFilippo', 'Bob Uecker']"
Sour Grapes,['Comedy'],['English'],91.0,"Richie, a sneaker sole designer, and his cousin Evan, a brain surgeon, are spending this weekend with their girlfriends in Atlantic City. When one of them ends up with a $436,000 jackpot, sour grapes is what results. Even though Richie uses two quarters from Evan to win the progressive jackpot, he sees no connection with that and sharing the jackpot. This ignites a hilarious, runaway chain of even",False,1998-01-01,"A hilarious comedy from the co-creator of ""Seinfeld""",5.9,"['jackpot', 'richie', 'evan']","['Steven Weber', 'Craig Bierko', 'Viola Harris', 'Jennifer Leigh Warren']"
The Big Hit,"['Action', 'Adventure', 'Comedy', 'Thriller']",['English'],91.0,"Affable hit man Melvin Smiley is constantly being scammed by his cutthroat colleagues in the life-ending business. So, when he and his fellow assassins kidnap the daughter of an electronics mogul, it's naturally Melvin who takes the fall when their prime score turns sour. That's because the girl is the goddaughter of the gang's ruthless crime boss. But, even while dodging bullets, Melvin has to keep his real job secret from his unsuspecting fiancée, Pam.",False,1998-04-24,Nothing's more dangerous than some nice guys... with a little time to kill.,6.1,"['melvin', 'affable', 'hit']","['Mark Wahlberg', 'Lou Diamond Phillips', 'Christina Applegate', 'China Chow', 'Avery Brooks', 'Antonio Sabàto, Jr.', 'Elliott Gould', 'Lainie Kazan', 'Bokeem Woodbine', 'Robin Dunne']"
Black Dog,"['Action', 'Adventure', 'Thriller']",['English'],88.0,An ex-con takes a job driving a truck cross country. What he doesn't know is that the truck is filled with illegal weapons and now he must fight to survive and save his family.,False,1998-05-01,The rules of the road are simple. Don't turn back.,5.2,"['truck', 'takes', 'job']","['Patrick Swayze', 'Meat Loaf', 'Randy Travis', 'Gabriel Casseus', 'Graham Beckel', 'Brenda Strong', 'Rusty De Wees', 'Brian Kelly', ""Cyril O'Reilly"", 'Erin Broderick', 'Charles S. Dutton', 'Stephen Tobolowsky']"
"Dancer, Texas Pop. 81","['Comedy', 'Drama', 'Family']",['English'],97.0,"Four guys, best friends, have grown up together in DANCER, TEXAS POP. 81, a tiny town in West Texas. Years ago, they made a solemn vow to leave town together as soon as they graduate. Now, it's that weekend and the time has come to ""put up or shut up."" The clock is ticking and as all 81 people in the town watch, comment, offer advice and place bets, these four very different boys with unique backgrounds struggle with the biggest decision of their lives... whether to stay or leave home.",False,1998-05-01,in the middle of nowhere they had everything,10.0,"['town', 'four', 'together']","['Breckin Meyer', 'Peter Facinelli', 'Eddie Mills', 'Ethan Embry', 'Ashley Johnson', 'Patricia Wettig', ""Michael O'Neill"", 'Eddie Jones', 'Alexandra Holden', 'Shawn Weatherly']"
Les Misérables,"['Crime', 'Drama', 'History', 'Romance']","['English', 'French', 'Spanish']",134.0,"Jean Valjean, a Frenchman imprisoned for stealing bread, must flee a police officer named Javert. The pursuit consumes both men's lives, and soon Valjean finds himself in the midst of the student revolutions in France.",False,1998-05-01,The legend comes to life.,7.1,"['valjean', 'jean', 'frenchman']","['Liam Neeson', 'Geoffrey Rush', 'Uma Thurman', 'Claire Danes', 'Hans Matheson', 'Peter Vaughan', 'Jon Kenny', 'Gillian Hanna', 'Sylvie Koblížková', 'Mimi Newman', 'Ian Cregg', 'Shane Hervey', 'Lennie James', 'Julian Rhind-Tutt', 'Kelly Hunter']"
Still Breathing,"['Comedy', 'Drama', 'Romance']",['English'],109.0,"Two lost souls: she a con-artist in L.A.; he a puppeteer in San Antonio have the same dream linking each with the other. He travels to L.A. to find this woman he has become obsessed with. She resists, afraid of his kooky ideas until she travels with him to San Antonio and meets his wise grandmother. Story of two disparate people linked by ""fate"" gets increasingly interesting as it rolls along.",False,1997-09-01,"True love, midnight visions and stacking rocks. OR  The love of a lifetime can begin with a dream",5.2,"['two', 'san', 'antonio']","['Lou Rawls', 'Brendan Fraser', 'Joanna Going', 'Ann Magnuson', 'Celeste Holm']"
Deep Impact,"['Action', 'Drama', 'Romance']",['English'],120.0,"A seven-mile-wide space rock is hurtling toward Earth, threatening to obliterate the planet. Now, it's up to the president of the United States to save the world. He appoints a tough-as-nails veteran astronaut to lead a joint American-Russian crew into space to destroy the comet before impact. Meanwhile, an enterprising reporter uses her smarts to uncover the scoop of the century.",False,1998-05-08,Heaven and Earth are about to collide.,5.9,"['space', 'rock', 'hurtling']","['Robert Duvall', 'Téa Leoni', 'Elijah Wood', 'Vanessa Redgrave', 'Morgan Freeman', 'Maximilian Schell', 'Leelee Sobieski', 'James Cromwell', 'Jon Favreau', 'Laura Innes', 'Mary McCormack', 'Richard Schiff', 'Blair Underwood', 'Charles Martin Smith', 'Una Damon', 'Dougray Scott', 'Derek de Lint', 'Suzy Nakamura', 'Alimi Ballard', 'W. Earl Brown', 'Denise Crosby', 'Jason Dohring', 'Tucker Smallwood', ""Mike O'Malley"", 'Kurtwood Smith', 'Ron Eldard']"
Woo,"['Comedy', 'Romance']",['English'],84.0,Gorgeous and extraverted Woo meets insecure and straight-laced law clerk Tim at a blind date.,False,1998-05-08,It's Woo's world.. we're just living in it.,5.5,"['gorgeous', 'extraverted', 'woo']","['Jada Pinkett Smith', 'Tommy Davidson', 'Duane Martin', 'Michael Ralph', 'Darrel Heath', 'Dave Chappelle', 'Paula Jai Parker', 'LL Cool J', 'Dartanyan Edmonds', 'Foxy Brown', 'Orlando Jones', 'Billy Dee Williams']"
Lawn Dogs,['Drama'],['English'],101.0,"In the affluent, gated community of Camelot Gardens, bored wives indiscriminately sleep around while their unwitting husbands try desperately to climb the social ladder. Trent, a 21-year-old outsider who mows the neighborhood lawns, quietly observes the infidelities and hypocrisies of this overly privileged society. When Devon, a 10-year-old daughter from one family, forges a friendship with Trent, things suddenly get very complicated.",False,1997-11-21,Innocence is a dangerous friend.,7.3,"['trent', 'affluent', 'gated']","['Mischa Barton', 'Sam Rockwell', 'Christopher McDonald', 'Kathleen Quinlan', 'Miles Meehan', 'Bruce McGill', 'David Barry Gray', 'Eric Mabius', 'Angie Harmon', 'José Orlando Araque', 'Beth Grant', 'Tom Aldredge']"
Quest for Camelot,"['Fantasy', 'Animation', 'Drama', 'Romance', 'Family']",['English'],86.0,"During the times of King Arthur, Kayley is a brave girl who dreams of following her late father as a Knight of the Round Table. The evil Ruber wants to invade Camelot and take the throne of King Arthur, and Kayley has to stop him.",False,1998-05-15,An evil knight gives nobility a bad name.,6.9,[],"['Jessalyn Gilsig', 'Cary Elwes', 'Gary Oldman', 'Don Rickles', 'Jane Seymour', 'Pierce Brosnan', 'Bronson Pinchot', 'Jaleel White', 'Gabriel Byrne', 'John Gielgud', 'Frank Welker', 'Sarah Freeman', 'Eric Idle']"
